iter,rep,variant_id,victim_idx,hot_keys,writers_per_key,payload_mib,kill_delay_s,duration_s,exit_code,baseline_fail,hot_fail,cold_fail,reproduced_strict,raw_tail
1,1,c02,0,16,36,16,0.6,138.46,255,-1,-1,-1,0,"===============================================================
  bucket setup
===============================================================

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.
Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.
Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.
Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.
Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts.
Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts.
Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts.
Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts.

An error occurred (503) when calling the CreateBucket operation (reached max retries: 0): Service Unavailable"
2,2,c02,1,16,36,16,0.6,104.64,0,0,3,0,1,"
  hot failures by endpoint:
    192.168.2.189     3 /  32 fail
    192.168.2.191     0 /  32 fail
    192.168.2.192     0 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key  9:   1
    key 10:   1
    key 12:   1

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
3,3,c02,2,16,36,16,0.6,108.66,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 16 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 96 / 96 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
4,4,c02,3,16,36,16,0.6,107.2,0,0,3,0,1,"
  hot failures by endpoint:
    192.168.2.189     3 /  32 fail
    192.168.2.190     0 /  32 fail
    192.168.2.191     0 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 14:   1
    key 15:   1
    key 16:   1

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
5,5,c02,0,16,36,16,0.6,104.7,0,0,3,0,1,"
  hot failures by endpoint:
    192.168.2.190     3 /  32 fail
    192.168.2.191     0 /  32 fail
    192.168.2.192     0 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key  9:   1
    key 10:   1
    key 11:   1

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
6,6,c02,1,16,36,16,0.6,119.66,0,0,3,0,1,"  HOT (contended): 43 / 46 ok    fail: 3   (6.5%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  hot failures by endpoint:
    192.168.2.189     1 /  32 fail
    192.168.2.191     1 /  32 fail
    192.168.2.192     1 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 14:   3

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
7,7,c02,2,16,36,16,0.6,115.79,0,0,3,0,1,"  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  hot failures by endpoint:
    192.168.2.189     2 /  32 fail
    192.168.2.190     1 /  32 fail
    192.168.2.192     0 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 15:   2
    key 16:   1

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
8,8,c02,3,16,36,16,0.6,107.32,0,0,3,0,1,"
  hot failures by endpoint:
    192.168.2.189     3 /  32 fail
    192.168.2.190     0 /  32 fail
    192.168.2.191     0 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 11:   1
    key 13:   1
    key 14:   1

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
9,9,c02,0,16,36,16,0.6,110.06,0,0,3,0,1,"
  hot failures by endpoint:
    192.168.2.190     3 /  32 fail
    192.168.2.191     0 /  32 fail
    192.168.2.192     0 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 11:   1
    key 14:   1
    key 15:   1

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
10,10,c02,1,16,36,16,0.6,111.52,0,0,3,0,1,"  HOT (contended): 40 / 43 ok    fail: 3   (7.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  hot failures by endpoint:
    192.168.2.189     1 /  32 fail
    192.168.2.191     1 /  32 fail
    192.168.2.192     1 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 11:   3

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
11,11,c02,2,16,36,16,0.6,117.89,0,0,3,0,1,"  HOT (contended): 43 / 46 ok    fail: 3   (6.5%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  hot failures by endpoint:
    192.168.2.189     1 /  32 fail
    192.168.2.190     1 /  32 fail
    192.168.2.192     1 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 14:   3

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
12,12,c02,3,16,36,16,0.6,113.28,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 16 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 96 / 96 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
13,13,c02,0,16,36,16,0.6,117.18,0,0,3,0,1,"  HOT (contended): 42 / 45 ok    fail: 3   (6.7%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  hot failures by endpoint:
    192.168.2.190     1 /  32 fail
    192.168.2.191     1 /  32 fail
    192.168.2.192     1 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 13:   3

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
14,14,c02,1,16,36,16,0.6,111.24,0,0,3,0,1,"  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  hot failures by endpoint:
    192.168.2.189     2 /  32 fail
    192.168.2.191     1 /  32 fail
    192.168.2.192     0 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 15:   2
    key 16:   1

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
15,15,c02,2,16,36,16,0.6,107.37,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 16 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 96 / 96 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
16,16,c02,3,16,36,16,0.6,108.64,0,0,3,0,1,"
  hot failures by endpoint:
    192.168.2.189     3 /  32 fail
    192.168.2.190     0 /  32 fail
    192.168.2.191     0 /  32 fail
  hot failures by key (idx -> total fail across all rounds*endpoints):
    key 14:   1
    key 15:   1
    key 16:   1

  --> bug REPRODUCED. Hot-key reads fail while the cold control set
      is fine -- only the contended keys hold stale WRITERS_WAITING flags.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
17,17,c02,0,16,36,16,0.6,106.35,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 16 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 96 / 96 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
